"Product GID","Product handle","Product title","Metafield namespace","Metafield key","Metafield type","Metafield value"
"gid://shopify/Product/1774387757126","downloads","Downloads","bio","test-value","string","test-value"
"gid://shopify/Product/1774387757126","downloads","Downloads","global","test","string","test-value"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","100_System","string","System"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","170_Storage","string","12x 3.5"" 12Gbps/6Gbps SAS/SATA Tray-less bays"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","700_Environment","string","Environment"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","710_Operating Temperature","string","0&deg;C ~ 35&deg;C"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","720_Storage Temperature","string","-20&deg;C ~ 70&deg;C"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","730_Relative Humidity","string","5% ~ 95% relative humidity, non-condensing"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","800_Physical","string","Physical"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","810_Dimensions (W x H x D)","string","System: 20""x19""x5.25"" (LxWxH) Packaging: 30.5""x 23.5""x15""(LxWxH)"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","820_Weights","string","35lbs w/o Hard Drives 50lbs with Hard Drives"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","family","string","server"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","product series","string","DuraStreams"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","title","string","DSS212J-S3"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","171_Driver Bays","string","20x 2.5"" 7mm hot-swap 6Gbps SATA drive bays 2x Internal 2.5"" bays for OS drives"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","220_Cooling","string","Two Redundant 97mm hot-swap exhaust fan modules with Smart Fan Control for optimal cooling"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","739_HTS Code","string","8473 30 5100"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","740_ECCN","string","4A994"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","741_Compliance","string","CE, FCC Class A, RoHS 6/6 compliant"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","resource_BIOS","string","JNM-2.0.5-BIOS"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","301_I/O","string","2x SFF8644 12G SAS lanes Uplink host / expander <br>1x SFF8644 12G SAS lanes Downlink / expander <br>1x RJ45 for remote management / expander <br>1x mini Jack for RS232 management"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","115_Expander","string","Single or Dual LSI 12G SAS Expander"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","172_Enclosure Management","string","HDD Status/Indentifier LEDs, Smart Fan, Thermal Monitor, HDD Monitor, Voltage Monitor, Inband SES 2 support"
