id,title,family,product series,processor,100_System,110_Processor,115_Expander,120_System Chipset,121_LAN Chipset,122_Audio Codec,130_System Memory,150_Graphics,160_Ethernet,161_Network,169_Controller Support,170_Storage,171_Driver Bays,172_Enclosure Management,200_BIOS,210_Watchdog Timer,211_Supported OS,220_Cooling,299_Other Features,300_I/O,301_I/O,302_Front I/O,303_Back I/O,304_Universal I/O Slot,305_Expansion,310_Display Output,321_Others,500_Power,501_Power,502_Power Adapter,510_Power Management,520_Power Mode,530_Power Supply Voltage,540_Power Connector,550_Power Protection,700_Environment,701_Environment,710_Operating Temperature,720_Storage Temperature,730_Relative Humidity,732_IP Level,734_Certification,736_Vibration,737_Shock,738_Warranty,739_HTS Code,740_ECCN,741_Compliance,800_Physical,810_Dimensions (W x H x D),820_Weights,821_Logistic,830_Construction,840_Mounting Options,resource_Data Sheet,resource_BIOS,resource_Firmware,resource_MFG file,resource_User's Manual,resource_AVL,resource_Product Brief,resource_Install Guide
750188101697,FlacheSAN1L-U5,server,flachestreams-intel-xeon,Intel,System,Supports Single Socket Intel® Xeon® SP (Skylake) up to 205W TDP socket LGA3647,,Intel® C622 chipset,,,Supports up to 6x DIMMs DDR4 RDIMM/RDIMM 3DS/LRDIMM/LRDIMM 3DS 2666,,,,,"36 ports 12G SAS Expander with 3 SFF8643 Connecters (Optional), LSI3008 onboard (Optional)","20x 2.5"" 7mm hot-swap 6Gbps SATA drive bays; 2x internal 2.5"" bays for OS drives",,,,,3x 97mm Blowers with Smart Fan Control,,,,,,,1 PCI-E 3.0 x8 (in x16)<br>2x PCI-E 3.0 x16,,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,"System: 23""x19""x1.75"" (LxWxH) Packaging: 31""x 24.5""x9""(LxWxH)",Gross: 47lbs without drives; Net: 35lbs without drives,,,,ds-FlacheSAN1L-U5,X11SPW7_606,SMT_X11AST2500_122,,,FlacheSAN1L-U5-AVL,PB_FlacheStreams_Intel,QG_FlacheSAN1L-U5
750185283649,FlacheSAN1L-D5,server,flachestreams-intel-xeon,Intel,System,Supports Dual Intel® Xeon® SP (Skylake) up to 205W TDP socket LGA3647,,Intel® C621 chipset,,,Supports up to 16x DIMMs DDR4 RDIMM/RDIMM 3DS/LRDIMM/LRDIMM 3DS 2666,,,,,36 ports 12G SAS Expander with 3 SFF8643 Connectors (Optional),"20x 2.5"" 7mm hot-swap 6Gbps SATA drive bays; 2x Internal 2.5"" bays for OS drives",,,,,3x 97mm Blowers with Smart Fan Control,,,,,,,,,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,"System: 27""x19""x1.75"" (LxWxH) <br> Packaging: 39""x 24.25""x9""(LxWxH)",Gross: 47lbs without drives; Net: 35lbs without drives,,,,ds-FlacheSAN1L-D5,"Tyan S7106GM2NR, Tyan S7106GM2NR-L2",,,,FlacheSAN1L-D5-AVL,PB_FlacheStreams_Intel,FlacheSAN1L-D5-Quick-Guide
750248263745,FlacheSAN2N24U-D5,server,flachestreams-intel-xeon,Intel,System,Supports Dual Intel® Xeon® SP (Skylake) up to 205W TDP socket LGA3647,,Intel® C621 chipset,,,Supports 16x DDR4 ECC RDIMM/LRDIMM 2133/2400/2666MT/s max. 2TB capacity,,,,,"24x 2.5"" U.2 NVMe SSD PCIe3 x4","24x 2.5"" front U.2 drive bays <br>2x 2.5"" internal drive bays and <br>2x 2.5"" 7mm rear hot-swap drive bays",,,,,4x 80mm high speed fans,,,,,,,Support up to total 4 Full Height PCIe3 x16 PCIe slots (Optional 6x PCIe3 x16 slots),,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,"System: 26.5""x19""x3.5"" (LxWxH) Packaging: 37""x 24""x10""(LxWxH)",Gross: 28KG/61LBS; Net: 25KG/53LBS,,,,ds-FlacheSAN2N24U-D5,"Tyan S7106GM2NR, Tyan S7106GM2NR-L2",,,,FlacheSAN2N24U-D5-AVL,PB_FlacheStreams_Intel,qg-FlacheSAN2N24U-D5
751021817921,FlacheSAN2N12C-D5,server,flachestreams-intel-xeon,Intel,System,Supports Dual Intel® Xeon® SP (Skylake) up to 205W TDP socket LGA3647,,Intel® C621 chipset,,,Supports 16x DDR4 ECC RDIMM/LRDIMM 2133/2400/2666MT/s max. 2TB capacity,,,,,12x Low Profile Front Hot-Swappable PCIe3 x8 NVMe Add-in-Card,"12x PCIe x8 slots, 2x 2.5"" internal drive bays and 2x 2.5"" 7mm rear hot-swap drive bays",,,,,4x 80mm high speed fans,,,,,,,,,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,"System: 30""x19""x3.5"" (LxWxH) Packaging: 37""x 24""x10""(LxWxH)",Gross: 29KG/64LBS; Net: 25KG/55LBS,,,,ds-FlacheSAN2N12C-D5,"Tyan S7106GM2NR, Tyan S7106GM2NR-L2",,,,FlacheSAN2N12C-D5-AVL,PB_FlacheStreams_Intel,qg-FlacheSAN2N12C-D5
750218903617,FlacheSAN2V-U5,server,flachestreams-intel-xeon,Intel,System,Supports UP Intel® Xeon® SP Skylake up to 165W TDP socket LGA3647,,Intel® C621 chipset,,,Supports 8x DDR4 ECC RDIMM/LRDIMM 2133/2400/2666 MT/s,,,,,4x 6G/12G SAS HBA/RAID controllers by using available PCIe slots,"48x front hot-swap 2.5"" 7mm 6G SATA drive bays; 2x internal .5"" 7 or 15mm 6G SATA bays",,,,,4x 80mm high speed fans,,,,,,,Supports up to total of 7 PCIe slots <br>4 PCIe3 x8 <br>1 PCIe3x16 <br>1 PCIe3 x4 (in x8 slot),,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,"System: 26""x19""x3.5"" (LxWxH) Packaging: 36""x 24.5""x10.5""(LxWxH)",Gross: 25KG/55LBS; Net: 21.36KG/46LBS,,,,ds-FlacheSAN2V-U5,Tyan S7100GM2NR,,,,FlacheSAN2V-U5-AVL,PB_FlacheStreams_Intel,QG_FlacheSAN2V-U5
750208942145,FlacheSAN2V-D5,server,flachestreams-intel-xeon,Intel,System,Supports Dual Intel® Xeon® SP (Skylake) up to 205W TDP socket LGA3647,,Intel® C621 chipset,,,Supports 16x DDR4 ECC RDIMM/LRDIMM 2133/2400/2666MT/s,,,,,4x 6G/12G SAS HBA/RAID controllers or <br>2x 12G SAS HBA/RAID controllers with optional,"48x front hot-swap 2.5"" 7mm 6G SATA drive bays<br>2x internal .5"" 7 or <br>15mm 6G SATA bays",,,,,4x 80mm high speed fans,,,,,,,Supports up to total of 7 PCIe slots<br>3 PCIe3 x8 <br>4 PCIe3 x16 (Optional on-board Lsi 3108 SAS controller),,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,"System: 26""x19""x3.5"" (LxWxH) Packaging: 36""x 24.5""x10.5""(LxWxH)",Gross: 25KG/55LBS; Net: 21.36KG/46LBS,,,,ds-FlacheSAN2V-D5,Tyan S7100GM2NR,,,,FlacheSAN2V-D5-AVL,PB_FlacheStreams_Intel,FlacheSAN2V-D5-Quick-Guide
750196621377,FlacheSAN2-D5,server,flachestreams-intel-xeon,Intel,System,Supports Dual Intel® Xeon® SP (Skylake) up to 205W TDP socket LGA3647,,Intel® C624 chipset,,,Supports 24x DDR4 ECC RDIMM/LRDIMM 2133/2400/2666 MT/s,,,,,4x 6G/12G SAS HBA/RAID controllers or 2x 12G SAS HBA/RAID controllers with optional dual 36ports 12G SAS Expanders,"48x front hot-swap 2.5"" 7mm 6G SATA drive bays; 4x rear hot-swap 2.5"" 7mm 6G SATA bays",,,,,4x 80mm high speed fans,,,,,,,"Supports up to total 7 PCIe slots; 1x SAS Mezz, 1x OCP module",,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,"System: 29""x19""x3.5"" (LxWxH); Packaging: 38.2""x 25""x11.1""(LxWxH)",Gross: 25KG/55LBS; Net: 21.36KG/46LBS,,,,ds-FlacheSAN2-D5,Intel S2600WF0,,,,FlacheSAN2-D5-AVL,PB_FlacheStreams_Intel,FlacheSAN2-D5-Quick-Guide
3825164976193,FlacheSAN1N10U-D5,server,flachestreams-intel-xeon,Intel,System,Supports dual Socket LGA3647 Intel Xeon Scalable Processor up to 205W TDP with dual Intel UPI 10.4/9.6 GT/s,,,,,Supports up to 16x DIMMs DDR4 RDIMM/RDIMM/LRDIMM 2666 MHz,,,2x 1GbE Broadcom BCM5720<br> 1x GbE dedicated for IPMI,,"36 ports 12G SAS Expander with 3 SFF8643
Connectors (Optional), LSI3008 onboard (Optional)","10x 2.5"" hot-swap U.2 NVMe drive bays <br>2x internal M.2 NVMe for OS drives",,,,Microsoft Windows Server 64bit 2012.R2<br> Windows 2016<br> Linux RHEL 6.9/7.3<br> SuSE SLES 11/12<br> Ubuntu 16.04.3 LTS<br>VMWare vSphere 6.5<br> XenServer 7.0,5x 40mm fans with Smart Fan Control,Dedicated GbE for IPMI 2.0 Aspeed AST2500 support Redfish DMTF RESTful API,,,Power On/Off switch & LED<br> Locate switch & LED<br>Reset switch<br> System warning LED<br> 4x LAN LED,2x USB 3.0 ports<br> 1x VGA port(s)<br> 1x COM Port<br> 2x 1GbE port<br> 1x 1GbE MGMT,,"1x PCI-E 3.0 x16 Full Height",,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,System: 27”x19”x1.75” (LxWxH)<br>Packaging: 35”x 24.5”x9”(LxWxH),"Gross: 47lbs without drives<br> Net: 35lbs without drives",,,,DS_FlacheSAN1N10U-D5,,,,,,,
3670073966657,FlacheSAN2N108M-D5,server,flachestreams-intel-xeon,Intel,System,Intel® Dual Processor Xeon Scalable Processors up to 205W,,,,,Supports up to 16x DIMMs DDR4 <br>RDIMM/RDIMM/LRDIMM 2666/2400 ,,,"2x GbE ports, 1x GbE dedicated for IPMI",,,108x Hot-swappable EDSFF (EL.1) NVMe drive bays<br>2x internal M.2 NVMe for OS drives,,,,Microsoft Windows Server 64bit 2012/R2 <br>Windows 2016 64bit<br> Linux RHEL 7.4<br> SUSE 11 SP4 x64<br> SUSE 12 SP2 x64<br> Ubuntu 16.04 x64<br> Ubuntu 17.04 x64,4x 80x38mm High-Pressure cooling fans,Dedicated GbE for IPMI 2.0,,"2x USB 3.0 ports<br> 1x VGA port(s)<br> 1x COM
Port<br> 2x 1GbE ports<br. 1x 1GbE MGMT","Power On/Off switch <br> LED, Locate switch <br>LED, NMI switch<br> 2x LAN LED",,,(2) PCIe3 x16 FH/FL + (1) PCIe3 x16 OCP 2.0,,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,System: 37”x17.16”x3.5” (LxWxH),,,,,DS_FlacheSAN2N108M-D5,,,,,,PB_FlacheStreams_Intel,
757180235841,FlacheSAN1N10U-UN,server,flachestreams-amd-naples,AMD,System,Supports Single Socket AMD EPYC (Naples) CPU up to 180W TDP socket SP3,,,,,Supports up to 16x DIMMs DDR4 RDIMM/RDIMM/LRDIMM 2666 MHz,,,2x 1GbE Broadcom BCM5720<br> 1x GbE dedicated for IPMI,,,"10x 2.5"" hot-swap U.2 NVMe drive bays <br>2x internal M.2 NVMe for OS drives",,,,,5x 40mm fans with Smart Fan Control,,,,,,,1x PCI-E 3.0 x16 OCP 2.0 Mezzanine<br> 1x PCI-E 3.0 x16 Full Height <br>1x PCI-E 3.0 x16 Low Profile,,,,,,,,,,,Environment,,0°C ~ 35°C,-20°C ~ 70°C,"5% ~ 95% relative humidity, non-condensing",,,,,,8473 30 5100,4A994,"CE, FCC Class A, RoHS 6/6 compliant",Physical,"System: 27""x19""x1.75"" (LxWxH) Packaging: 35""x 24.5""x9""(LxWxH)",Gross Weight: 47lbs without Hard Drives Net Weight: 35lbs without Hard Drive,,,,DS-FlacheSAN1N10U-UN,Tyan S8026GM2NRE,,,,AVL_FlacheSAN1N10U-1N20U-UN,PB_FlacheStreams_AMD,QG_FlacheSAN1N10U-UN
