"Page GID","Page handle","Page title","Metafield namespace","Metafield key","Metafield type","Metafield value"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Tyan S7106GM2NR","string","Tyan S7106GM2NR, S7106GM2NR_v101, S7106GM2NR-BMC_v100"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DS_Premio_ACO-6010-16X-M12","string","https://premio.blob.core.windows.net/premio/uploads/resource/DS_Premio_ACO-6010-16X.pdf#page=3"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DS_Premio_ACO-6010-16X","string","https://premio.blob.core.windows.net/premio/uploads/resource/DS_Premio_ACO-6010-16X.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","PA-POE156_ds_v2","string","https://premio.blob.core.windows.net/premio/uploads/resource/PA-POE156_ds_v2.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DataSheet_Premio_PC210","string","https://premio.blob.core.windows.net/premio/uploads/resource/VIO/DataSheet_Premio_PC210.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DataSheet_Premio_PC200","string","https://premio.blob.core.windows.net/premio/uploads/resource/VIO/DataSheet_Premio_PC200.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","UserManual_VIO-PC","string","VIO-PC User Manual, https://premio.blob.core.windows.net/premio/uploads/resource/VIO/UserManual_VIO-PC.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DataSheet_VIO-W221x-PC210","string","21.5"" VIO-PC210, https://premio.blob.core.windows.net/premio/uploads/resource/DS_Premio_VIO-W221-PC210.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DataSheet_VIO-W221x-PC200","string","21.5"" VIO-PC200, https://premio.blob.core.windows.net/premio/uploads/resource/DS_Premio_VIO-W221-PC200.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Datasheet_VIO-W221x-PC311","string","21.5” VIO-PC311, https://premio.blob.core.windows.net/premio/uploads/resource/VIO/Datasheet_VIO-W221x-PC311.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Datasheet_VIO-W221x-PC300","string","21.5” VIO-PC300, https://premio.blob.core.windows.net/premio/uploads/resource/VIO/Datasheet_VIO-W221x-PC300.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DataSheet_VIO-W215x-PC210","string","15.6"" VIO-PC210, https://premio.blob.core.windows.net/premio/uploads/resource/DS_Premio_VIO-W215-PC210.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DataSheet_VIO-W215x-PC200","string","15.6"" VIO-PC200, https://premio.blob.core.windows.net/premio/uploads/resource/DS_Premio_VIO-W215-PC200.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Datasheet_VIO-W215x-PC311","string","15.6” VIO-PC311, https://premio.blob.core.windows.net/premio/uploads/resource/VIO/Datasheet_VIO-W215x-PC311.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Datasheet_VIO-W215x-PC300","string","15.6” VIO-PC300, https://premio.blob.core.windows.net/premio/uploads/resource/VIO/Datasheet_VIO-W215x-PC300.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DataSheet_VIO-219x-PC210","string","19"" VIO-PC210, https://premio.blob.core.windows.net/premio/uploads/resource/DS_Premio_VIO-219-PC210.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DataSheet_VIO-219x-PC200","string","19"" VIO-PC200, https://premio.blob.core.windows.net/premio/uploads/resource/DS_Premio_VIO-219-PC200.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Datasheet_VIO-219x-PC311","string","19” VIO-PC311, https://premio.blob.core.windows.net/premio/uploads/resource/VIO/Datasheet_VIO-219x-PC311.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Datasheet_VIO-219x-PC300","string","19” VIO-PC300, https://premio.blob.core.windows.net/premio/uploads/resource/VIO/Datasheet_VIO-219x-PC300.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DataSheet_VIO-217x-PC210","string","17"" VIO-PC210, https://premio.blob.core.windows.net/premio/uploads/resource/DS_Premio_VIO-217-PC210.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DataSheet_VIO-217x-PC200","string","17"" VIO-PC200, https://premio.blob.core.windows.net/premio/uploads/resource/DS_Premio_VIO-217-PC200.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Datasheet_VIO-217x-PC311","string","17” VIO-PC311, https://premio.blob.core.windows.net/premio/uploads/resource/VIO/Datasheet_VIO-217x-PC311.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Datasheet_VIO-217x-PC300","string","17” VIO-PC300, https://premio.blob.core.windows.net/premio/uploads/resource/VIO/Datasheet_VIO-217x-PC300.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DataSheet_VIO-215x-PC210","string","15"" VIO-PC210, https://premio.blob.core.windows.net/premio/uploads/resource/DS_Premio_VIO-215-PC210.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DataSheet_VIO-215x-PC200","string","15"" VIO-PC200, https://premio.blob.core.windows.net/premio/uploads/resource/DS_Premio_VIO-215-PC200.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Datasheet_VIO-215x-PC311","string","15” VIO-PC311, https://premio.blob.core.windows.net/premio/uploads/resource/VIO/Datasheet_VIO-215x-PC311.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Datasheet_VIO-215x-PC300","string","15” VIO-PC300, https://premio.blob.core.windows.net/premio/uploads/resource/VIO/Datasheet_VIO-215x-PC300.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DataSheet_VIO-212x-PC210","string","12.1"" VIO-PC210, https://premio.blob.core.windows.net/premio/uploads/resource/DS_Premio_VIO-212-PC210.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DataSheet_VIO-212x-PC200","string","12.1"" VIO-PC200, https://premio.blob.core.windows.net/premio/uploads/resource/DS_Premio_VIO-212-PC200.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DataSheet_VIO-212x-PC311","string","12.1” VIO-PC311X, https://premio.blob.core.windows.net/premio/uploads/resource/VIO/DataSheet_VIO-212x-PC311.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Datasheet_VIO-212x-PC300","string","12.1” VIO-PC300, https://premio.blob.core.windows.net/premio/uploads/resource/VIO/Datasheet_VIO-212x-PC300.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Premio_DS_VCO-6020-1050TI","string","https://premio.blob.core.windows.net/premio/uploads/resource/Premio_DS_VCO-6020-1050TI.PDF"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Premio_DS_RCO-6020-1050TI","string","https://premio.blob.core.windows.net/premio/uploads/resource/Premio_DS_RCO-6020-1050TI.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","VCO-6020-1050TI%202","string","https://premio.blob.core.windows.net/premio/uploads/resource/VCO-6020-1050TI%202.JPG"
"gid://shopify/Page/24736170054","downloads","Downloads","global","RCO-6020-1050TI%202","string","https://premio.blob.core.windows.net/premio/uploads/resource/RCO-6020-1050TI%202.JPG"
"gid://shopify/Page/24736170054","downloads","Downloads","global","VCO-6000_Intel_PB_2018","string","https://premio.blob.core.windows.net/premio/uploads/2018/09/VCO-6000_Intel_ProductBrief_Premio_2018.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","BIOS_VCO-6000","string","https://premio.blob.core.windows.net/premio/uploads/2018/08/BIOS_VCO-6000_VC601R01_20180622.zip"
"gid://shopify/Page/24736170054","downloads","Downloads","global","BIOS_RCO-6000","string","https://premio.blob.core.windows.net/premio/uploads/2018/08/BIOS_RCO-6000_RC601R02_20180622.zip"
"gid://shopify/Page/24736170054","downloads","Downloads","global","ds_CT-XSL01_p","string","https://premio.blob.core.windows.net/premio/uploads/2016/11/ds_CT-XSL01_p.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","ds_CT-MSL01_p","string","https://premio.blob.core.windows.net/premio/uploads/2017/03/ds_CT-MSL01_p.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","ds_CT-DBT0x_p","string","https://premio.blob.core.windows.net/premio/uploads/2017/03/ds_CT-DBT0x_p.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","ds_VIO-W221x-MX100","string","Wide 21.5"", https://premio.blob.core.windows.net/premio/uploads/2017/05/ds_VIO-W221x-MX100.pdf"
