Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
flachesan4n24m-ur,FLACHESAN4N24M-UR 2ND GEN AMD EPYC UP Server 24 bay,"<h2>Key Features</h2>
<ul>
<li>Storage server supports Single Socket 2nd Gen AMD EPYC up to 64 cores Single/Multi NUMA domain</li>
<li>Portable tower with 24x M.2 or NF1 Drives (Rack-mount option available)</li>
<li>Supports PCIe GEN 4; up to 4TB DDR4 RAM</li>
<li>Ability to power on/off M.2/NF1 drives individually</li>
<li>Supports up to 2x Double-Width GPUs</li>
</ul>",EchoStreams,,FlacheStreams Products: AMD EPYC Processor,"",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,0.00,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN4N24M-UN-front_0001_Layer-1_f020cbe4-b085-42be-9869-90cfb23af71b.png?v=1564529842,1,"",false,,,,lb,,,active
flachesan4n24m-ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN4N24M-UN-front_0000_FlacheSAN4N24M-UN-rear_73330c5c-02f8-4a97-88e4-5e2e786c5ee6.png?v=1564529842,2,"",,,,,,,,
flachesan2n24u-ur,FlacheSAN2N24U-UR 2U 24 NVMe U.2 2ND GEN AMD EPYC,"<p><strong>Key Features</strong></p>
<ul>
<li>All NVMe Flash Array supports Single Socket 2nd Gen AMD EPYC up to 64 cores Single/Multi NUMA domain</li>
<li>Supports 24x front accessible hot-swap NVMe PCIe3 x4 2.5” drives</li>
<li>Up to 60GB/s (480 Gigabits/s) throughput and 12 Millions IOPS through RDMA</li>
<li>Supports 4x full height PCIe3 x16 PCIe slots (Optional: 6x PCIe3 x16 slots)</li>
<li>Symmetrically balance design each CPU managing half NVMe and NIC</li>
</ul>
<ul></ul>
<ul></ul>
<ul></ul>
<ul></ul>
<ul></ul>",Premio Inc,,FlacheStreams Products: AMD EPYC Processor,"2U, XEON SP",true,Title,Default Title,,,,,,,,BB224NUD5TY18-A,27669.13457,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2N24U-D5FrontAngle_2d1efa25-ed0e-4141-a21e-e36889e3e457.png?v=1564616926,1,"",false,,,,lb,,,active
flachesan2n24u-ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2N12C-D5Rear-1_73f836dd-ff1c-4764-8edc-03a2b8ef19c1.png?v=1564616926,2,"",,,,,,,,
flachesan2n24u-ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN2N24U-D5Front_f97d9c8d-dcc8-4010-9dd8-4bfbd4f00a56.png?v=1564616926,3,"",,,,,,,,
flachesan1n10u-ur,FlacheSAN1N10U-UR 1U 10 BAYS NVMe U.2 PCIE X4 SINGLE 2ND GEN AMD EPYC 500W HRP,"<div id=""text-block-3"" class=""mk-text-block  mk-animate-element fade-in    mk-in-viewport"">
<ul>
<li>Storage server supports Single Socket 2nd Gen AMD EPYC up to 64 cores Single/Multi NUMA domain</li>
<li>Supports PCIe GEN 4; up to 4TB DDR4 RAM</li>
<li>Supports 3x PCIe3 x16 slots</li>
<li>1U with 10x hot-swappable 2.5” NVMe U.2 SSD bays</li>
<li>Capable of sustaining up to 250Gbps of bandwidth and 7.8 IOPS</li>
</ul>
</div>",Premio Inc,,FlacheStreams Products: AMD EPYC Processor,"10-20 bays, 1U, EPYC, server",true,Title,Default Title,,,,,,,,BB110NUUNTY14-A,0.0,,0,deny,manual,0.00,,false,false,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN1N10U-UNFrontAngle_26306f6e-2c0b-43c0-8d32-44e4cf520a77.png?v=1564520965,1,"",false,,,,lb,,,active
flachesan1n10u-ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/FlacheSAN1N10U-UNFront1_99515484-c7bd-42c9-9e51-977ae7497679.png?v=1564520965,2,"",,,,,,,,
flachesan1n36m-ur,FlacheSAN1N36M-UR 1U 36 BAYS NF1 NVMe 2ND GEN AMD EYPC 850W HRP PSU,"<h2>Key Features:</h2>
<ul>
<li>Storage server supports Single Socket 2nd Gen AMD EYPC up to 64 cores Single/Multi NUMA domain</li>
<li>1U with 36x hot-swappable NF1 or M.2 NVMe SSD bays</li>
<li>Supports PCIe GEN 4; up to 2TB DDR4 RAM</li>
<li>Capable of sustaining up to 300Gbps of bandwidth and 7.8M IOPS</li>
</ul>",EchoStreams,,FlacheStreams Products: AMD EPYC Processor,"",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/Flache1U36_0002_front_d3c760d1-25a7-468c-99a4-1f14cfd24dd7.png?v=1564519146,1,"",false,,,,lb,,,active
flachesan1n36m-ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/Flache1U36_0000_rear_1d8e1b09-bfc7-4c77-8914-5dd743531a30.png?v=1564519146,2,"",,,,,,,,
flachesan1n36m-ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0073/8623/4950/products/Flache1U36_0001_angle_678da159-e132-44b9-b484-ccec2ebbf629.png?v=1564519146,3,"",,,,,,,,
